Mpala structural data,,,,,,,,,,,,,Ilmotiok structural data,,,,,,,,
S/Transect,ALL,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol ,,,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol 
M1,M103,ACACBR,2.7,5.72,0.6,1.3,0.7,0.67,0.32,0.15,,,ACACME,3.2,8.04,0.75,1.86,1.11,1.5,1.77,1.31
M1,M103,ACACBR,2.5,4.91,0.7,1.88,1.18,0.82,0.52,0.41,,,ACACME,3.9,11.94,1.17,2.49,1.32,3.94,12.11,10.66
M1,M103,ACACBR,3.6,10.17,1,1.96,0.96,1.75,2.4,1.54,,,ACACME,6.2,30.18,0.93,2.71,1.78,3.04,6.95,8.25
M1,M103,ACACBR,3.2,8.04,1.05,2,0.95,1.64,2.1,1.33,,,ACACME,7.3,41.83,0.79,3.72,2.93,3.56,9.84,19.23
M1,M103,ACACBR,1.5,1.77,1.03,1.81,0.78,0.51,0.17,0.09,,,ACACME,5.7,25.50,1.05,3.71,2.66,4.77,17.83,31.62
M1,M104,ACACBR,2.2,3.80,0.3,0.8,0.5,0.79,0.46,0.15,,,ACACME,5.6,24.62,1.06,3.84,2.78,4.77,17.83,33.04
M1,M104,ACACBR,2.2,3.80,0.9,1.48,0.58,0.9,0.63,0.24,,,ACACME,7.1,39.57,0.66,3.41,2.75,4.48,15.72,28.82
M1,M104,ACACBR,2.6,5.31,1,1.5,0.5,1.37,1.47,0.49,,,ACACME,5.5,23.75,1.01,4.14,3.13,3.08,7.43,15.51
M1,M104,ACACBR,2.4,4.52,0.8,1.33,0.53,0.8,0.5,0.18,,,ACACME,4.6,16.61,1.52,4.14,2.62,3.36,8.85,15.46
M1,M104,ACACBR,2,3.14,0.9,1.39,0.49,0.5,0.2,0.06,,,ACACME,3.8,11.34,1.04,4.14,3.1,2.32,3.95,8.16
M1,M104,ACACBR,1.7,2.27,0.7,1.1,0.4,0.95,0.71,0.19,,,ACACME,6.1,29.21,1.01,4.14,3.13,4.07,12.72,26.54
M1,M104,ACACBR,2.4,4.52,0.9,1.43,0.53,1.3,1.3,0.46,,,ACACME,4.1,13.20,2.37,4.14,1.77,2.96,6.81,8.04
M1,M104,ACACBR,1.5,1.77,0.85,1.2,0.35,0.6,0.27,0.06,,,ACACME,3.5,9.62,1.83,4.14,2.31,4.54,16.03,24.69
M1,M104,ACACBR,2,3.14,0.8,1.22,0.42,0.78,0.46,0.13,,,ACACME,6.1,29.21,1.79,4.14,2.35,2.32,4.21,6.59
M1,M104,ACACBR,2.3,4.15,0.6,0.8,0.2,0.75,0.44,0.06,,,ACACME,7.7,46.54,1.06,4.14,3.08,5.36,22.5,46.21
M1,M104,ACACBR,1.8,2.54,0.7,1.1,0.4,0.55,0.24,0.06,,,ACACME,8.4,55.39,1.58,2.22,0.64,3.01,7.07,3.02
M1,M104,ACACBR,2.2,3.80,0.65,1,0.35,1.6,1.94,0.45,,,ACACME,6.2,30.18,1.06,3.1,2.04,3.21,8.06,10.97
M1,M104,ACACBR,1.9,2.83,0.7,1.8,1.1,0.96,0.71,0.52,,,ACACME,9.7,73.86,1.02,2.74,1.72,4.23,13.66,15.66
M1,M104,ACACBR,2.6,5.31,0.8,1.4,0.6,1.05,0.85,0.34,,,ACACET,4.9,18.85,1,2.71,1.71,1.86,2.58,2.94
M1,M104,ACACBR,1.1,0.95,0.4,0.7,0.3,0.33,0.08,0.02,,,ACACME,8,50.24,1.04,3.51,2.47,5.38,22.65,37.3
M1,M104,ACACBR,1.8,2.54,0.7,1,0.3,0.41,0.13,0.03,,,ACACME,7.5,44.16,1.1,3.23,2.13,5.35,21.62,30.7
M1,M104,ACACBR,2.5,4.91,0.95,1.36,0.41,1.53,1.81,0.5,,,ACACME,7.7,46.54,1.04,3.74,2.7,3.49,9.36,16.84
M1,M104,ACACBR,2.7,5.72,0.6,1,0.4,0.4,0.12,0.03,,,ACACME,6.6,34.19,1,3.08,2.08,4.67,16.94,23.49
M1,M104,ACACBR,2.1,3.46,0.7,1.15,0.45,0.65,0.33,0.1,,,ACACET,5.5,23.75,1.06,2.19,1.13,1.23,1.18,0.89
M1,M104,ACACBR,1.5,1.77,0.63,1.18,0.55,0.44,0.15,0.06,,,ACACME,6,28.26,1.05,3.26,2.21,4.69,17.07,25.15
M1,M104,ACACBR,2.7,5.72,0.8,1.1,0.3,1.1,0.95,0.19,,,ACACME,5.3,22.05,1,2.95,1.95,2.55,5.01,6.51
M1,M104,ACACBR,1.5,1.77,0.3,0.6,0.3,0.55,0.22,0.04,,,ACACME,3.4,9.07,1,1.77,0.77,2.11,3.49,1.79
