Acacia tortilis biomass (y=53.506x-103.47 (r2 = 0.75),,,,,,,,,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,D1,D2,CD,CanArea =  ?r² ,CanArea     = ?D1D2/4 ,Diff,(D1D2/4),CanVol,CanVol ,Biomass
L1,L167,ACACTO,2.4,,b,4.52,0.38,1.59,1.21,3.16,2.24,2.7,5.72,5.56,0.17,1.7696,4.5,4.48,24.9
L1,L167,ACACTO,1.6,,b,2.01,0.38,1.59,1.21,3.16,2.24,2.7,5.72,5.56,0.17,1.7696,4.5,4.48,-17.9
L1,L167,ACACTO,2.6,,b,5.31,0.38,1.59,1.21,3.16,2.24,2.7,5.72,5.56,0.17,1.7696,4.5,4.48,35.6
L1,L168,ACACTO,11.3,M,M,100.24,1.73,4.22,2.49,2.73,2.54,2.64,5.45,5.44,0.01,1.73355,9.0,9.04,501.1
L1,L168,ACACTO,7.8,M,M,47.76,1.7,2.4,0.7,4.75,2.97,3.86,11.7,11.07,0.62,3.526875,5.2,5.17,313.9
L1,L168,ACACTO,7.1,,b,39.57,1.7,2.4,0.7,4.75,2.97,3.86,11.7,11.07,0.62,3.526875,5.2,5.17,276.4
L1,L169,ACACTO,2.3,M,M,4.15,0.54,0.9,0.36,2.62,2.57,2.6,5.29,5.29,0,1.68335,1.3,1.27,19.6
L1,L169,ACACTO,1.8,,b,2.54,0.54,0.9,0.36,2.62,2.57,2.6,5.29,5.29,0,1.68335,1.3,1.27,-7.2
L1,L169,ACACTO,7.3,M,M,41.83,0.7,3.14,2.44,3.66,4.51,4.09,13.1,12.96,0.14,4.12665,21.1,21.08,287.1
L1,L169,ACACTO,7,,b,38.47,0.7,3.14,2.44,3.66,4.51,4.09,13.1,12.96,0.14,4.12665,21.1,21.08,271.1
L1,L169,ACACTO,5.9,M,M,27.33,0.76,1.62,0.86,3,2.59,2.8,6.13,6.1,0.03,1.9425,3.5,3.5,212.2
L1,L169,ACACTO,4.4,,b,15.20,0.76,1.62,0.86,3,2.59,2.8,6.13,6.1,0.03,1.9425,3.5,3.5,132.0
L1,L171,ACACTO,23.5,M,M,433.52,1.22,4.16,2.94,8.25,7.41,7.83,48.13,47.99,0.14,15.283125,94.1,94.06,1153.9
L1,L171,ACACTO,11.6,,b,105.63,1.22,4.16,2.94,8.25,7.41,7.83,48.13,47.99,0.14,15.283125,94.1,94.06,517.2
L1,L171,ACACTO,7.9,M,M,48.99,0.96,2.63,1.67,3.69,2.87,3.28,8.45,8.31,0.13,2.647575,9.3,9.26,319.2
L1,L171,ACACTO,2.9,,b,6.60,0.96,2.63,1.67,3.69,2.87,3.28,8.45,8.31,0.13,2.647575,9.3,9.26,51.7
L1,L171,ACACTO,3.7,M,M,10.75,0.51,1.2,0.69,2.44,2.66,2.55,5.1,5.09,0.01,1.6226,2.3,2.34,94.5
L1,L171,ACACTO,1.8,,b,2.54,0.51,1.2,0.69,2.44,2.66,2.55,5.1,5.09,0.01,1.6226,2.3,2.34,-7.2
L1,L171,ACACTO,3.1,,b,7.54,0.51,1.2,0.69,2.44,2.66,2.55,5.1,5.09,0.01,1.6226,2.3,2.34,62.4
L1,L171,ACACTO,7.9,M,M,48.99,1.05,3.26,2.21,3.36,3.41,3.39,8.99,8.99,0,2.8644,13.3,13.25,319.2
L1,L171,ACACTO,5.7,,b,25.50,1.05,3.26,2.21,3.36,3.41,3.39,8.99,8.99,0,2.8644,13.3,13.25,201.5
L1,L171,ACACTO,1.8,,b,2.54,1.05,3.26,2.21,3.36,3.41,3.39,8.99,8.99,0,2.8644,13.3,13.25,-7.2
L1,L171,ACACTO,3.7,M,M,10.75,0.7,1.65,0.95,1.56,1.63,1.6,2,2,0,0.6357,1.3,1.26,94.5
L1,L171,ACACTO,3,,b,7.07,0.7,1.65,0.95,1.56,1.63,1.6,2,2,0,0.6357,1.3,1.26,57.0
L1,L171,ACACTO,2.6,,b,5.31,0.7,1.65,0.95,1.56,1.63,1.6,2,2,0,0.6357,1.3,1.26,35.6
L1,L171,ACACTO,1.7,,b,2.27,0.7,1.65,0.95,1.56,1.63,1.6,2,2,0,0.6357,1.3,1.26,-12.5
L1,L172,ACACTO,9.5,M,M,70.85,1.15,2.17,1.02,3.03,2.6,2.82,6.22,6.18,0.04,1.9695,4.2,4.21,404.8
L1,L172,ACACTO,1.6,,b,2.01,1.15,2.17,1.02,3.03,2.6,2.82,6.22,6.18,0.04,1.9695,4.2,4.21,-17.9
L1,L172,ACACTO,2.5,,b,4.91,1.15,2.17,1.02,3.03,2.6,2.82,6.22,6.18,0.04,1.9695,4.2,4.21,30.3
L1,L172,ACACTO,4.5,M,M,15.90,0.75,1.89,1.14,3.36,3.62,3.49,9.56,9.55,0.01,3.0408,7.3,7.26,137.3
L1,L172,ACACTO,3.5,,b,9.62,0.75,1.89,1.14,3.36,3.62,3.49,9.56,9.55,0.01,3.0408,7.3,7.26,83.8
L1,L172,ACACTO,2.4,,b,4.52,0.75,1.89,1.14,3.36,3.62,3.49,9.56,9.55,0.01,3.0408,7.3,7.26,24.9
