ident,web,state,trec3,noman2,protect2,restore2,wnoman2,wprotect2,wrestore2,women,spend2,polview2,seeind2,nepind2,gccind2
310,1,3,4,4,3,3,4,3,3,0,.5,2,2,2.2222223,1
311,1,3,5,1,5,5,1,5,5,0,1,5,3,3.4444444,5
312,1,1,5,2,5,5,2,4,4,1,1,6,2.5,3.7777777,5
313,1,3,5,2,4,4,3,4,4,1,.5,4,1.5,3.1111112,4
314,1,3,5,4,4,2,5,1,1,0,1,6,3,4.3333335,5
315,1,3,4,2,4,5,2,4,5,1,.5,2,1.5,3.6666667,2
316,1,2,,2,4,4,2,4,4,0,0,1,1,2.5555556,1
317,1,3,5,2,4,4,5,2,2,0,1,4,2,4.1111112,
318,1,3,5,4,4,4,4,4,4,0,1,2,3,3.3333333,4.5
319,1,3,3,2,4,4,3,4,3,1,.5,2,2,3.4444444,3
320,1,1,5,1,5,5,1,5,,1,.5,5,2,4.1111112,2.5
321,1,3,5,5,1,3,5,1,3,0,.5,4,0,2.7777777,3
322,1,2,4,3,3,3,3,3,3,1,.5,1,2,2.2222223,
323,1,1,1,4,4,4,4,4,4,1,.5,7,0,3.2222223,4.5
324,1,3,,1,5,5,3,4,4,0,.5,4,2,4.2222223,4
325,1,1,5,1,5,3,1,5,3,0,.5,6,2.5,3.8888888,5
326,1,2,5,2,4,4,2,4,4,0,1,4,2.5,3,1.5
327,1,1,5,3,3,4,5,2,2,1,.5,2,2,2.4444444,1
328,1,2,5,1,4,3,2,4,3,0,.5,4,2.5,3.1111112,3.5
329,1,1,5,1,5,5,1,4,4,0,.5,5,2.5,4.6666665,5
330,1,1,5,2,5,5,2,5,5,1,.5,4,2,,4.5
331,1,1,5,1,5,2,1,5,2,0,1,2,2,1.5555556,3
332,1,3,5,2,4,3,2,4,3,0,.5,2,2.5,2.8888888,2
333,1,2,5,2,4,5,2,4,5,1,.5,4,2,4,4.5
334,1,3,5,2,4,4,2,4,4,0,1,4,2.5,4.2222223,5
335,1,2,2,2,4,4,3,4,4,0,.5,2,2,2.8888888,4
336,1,3,5,4,1,4,4,1,4,0,0,5,3,2.3333333,2
337,1,2,1,2,4,5,1,4,5,1,0,4,2.5,3.7777777,4.5
