Year,Season,Active_Holes,Total_Holes,Sett Type,Trial_Code,Sett_ID_Code
3,Spring,0,2,Outlier,Area3,Area3 Sett74
4,Spring,0,2,Outlier,Area3,Area3 Sett74
1,Summer,2,12,Outlier,Area3,Area3 Sett75
2,Spring,0,9,Outlier,Area3,Area3 Sett75
3,Spring,0,2,Outlier,Area3,Area3 Sett75
4,Spring,2,11,Main,Area3,Area3 Sett75
4,Spring,1,10,Main,Area3,Area3 Sett75
5,Autumn,0,10,Outlier,Area3,Area3 Sett75
1,Summer,0,2,Outlier,Area3,Area3 Sett76
2,Spring,0,2,Outlier,Area3,Area3 Sett76
3,Spring,0,2,Outlier,Area3,Area3 Sett76
1,Summer,1,6,Outlier,Area3,Area3 Sett77
2,Spring,3,10,Outlier,Area3,Area3 Sett77
1,Summer,2,4,Outlier,Area3,Area3 Sett78
2,Spring,0,6,Outlier,Area3,Area3 Sett78
4,Winter,0,3,Outlier,Area3,Area3 Sett79
4,Winter,0,2,Outlier,Area3,Area3 Sett80
4,Spring,0,2,Outlier,Area3,Area3 Sett80
5,Autumn,0,2,Outlier,Area3,Area3 Sett80
4,Spring,0,1,Outlier,Area3,Area3 Sett81
4,Spring,0,1,Outlier,Area3,Area3 Sett81
5,Autumn,0,1,Outlier,Area3,Area3 Sett81
4,Spring,0,2,Outlier,Area3,Area3 Sett82
4,Spring,0,2,Outlier,Area3,Area3 Sett82
4,Spring,1,1,Outlier,Area3,Area3 Sett83
5,Autumn,0,1,Outlier,Area3,Area3 Sett83
1,Summer,0,3,Outlier,Area3,Area3 Sett84
3,Winter,0,3,Outlier,Area3,Area3 Sett84
3,Autumn,0,3,Outlier,Area3,Area3 Sett84
4,Spring,0,3,Outlier,Area3,Area3 Sett84
4,Spring,1,3,Outlier,Area3,Area3 Sett84
1,Summer,0,2,Outlier,Area3,Area3 Sett85
4,Spring,0,3,Outlier,Area3,Area3 Sett85
1,Summer,0,4,Outlier,Area3,Area3 Sett86
2,Spring,1,4,Outlier,Area3,Area3 Sett86
3,Spring,0,4,Outlier,Area3,Area3 Sett86
4,Spring,0,6,Outlier,Area3,Area3 Sett86
1,Summer,0,1,Outlier,Area3,Area3 Sett87
4,Spring,0,2,Outlier,Area3,Area3 Sett87
5,Autumn,0,2,Outlier,Area3,Area3 Sett87
1,Summer,0,1,Outlier,Area3,Area3 Sett88
4,Spring,0,2,Outlier,Area3,Area3 Sett88
1,Summer,0,2,Outlier,Area3,Area3 Sett89
3,Spring,0,5,Outlier,Area3,Area3 Sett89
4,Spring,1,3,Outlier,Area3,Area3 Sett89
5,Autumn,1,3,Outlier,Area3,Area3 Sett89
2,Spring,2,2,Outlier,Area3,Area3 Sett90
3,Spring,0,2,Outlier,Area3,Area3 Sett90
2,Spring,0,4,Outlier,Area3,Area3 Sett91
3,Spring,0,4,Outlier,Area3,Area3 Sett91
3,Winter,0,6,Outlier,Area3,Area3 Sett91
3,Spring,0,2,Outlier,Area3,Area3 Sett92
5,Autumn,0,2,Outlier,Area3,Area3 Sett92
3,Spring,0,2,Outlier,Area3,Area3 Sett93
5,Autumn,0,2,Outlier,Area3,Area3 Sett93
2,Spring,1,7,Main,Area3,Area3 Sett94
3,Spring,1,10,Main,Area3,Area3 Sett94
4,Spring,1,17,Main,Area3,Area3 Sett94
