#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio,Eff_Resist,CWDTORRatio,CF_Centrality
95.0,24.0,34.0,-1.0,-1.0,1.0,111.0,12020.0,1.0,1.0,140.0,108.288288288,85.8571428571,-1.0,-1.0,7790.497747
96.0,25.0,31.0,-1.0,-1.0,-15.0,233.0,24600.4921875,1.0,1.0,289.0,105.581511534,85.1228103374,-1.0,-1.0,-1.0
97.0,25.0,33.0,-1.0,-1.0,1.0,135.0,15570.4912109,1.0,1.0,169.0,115.336971933,92.1330840882,-1.0,-1.0,9533.636965
98.0,25.0,37.0,-1.0,-1.0,1.0,259.0,27656.8535156,1.0,1.0,276.0,106.783218207,100.205990999,-1.0,-1.0,5530.813658
99.0,25.0,50.0,-1.0,-1.0,-15.0,417.0,46866.1210938,1.0,1.0,564.0,112.388779601,83.0959593862,-1.0,-1.0,-1.0
100.0,25.0,57.0,-1.0,-1.0,-15.0,588.0,97419.6875,1.0,1.0,817.0,165.679740646,119.240743574,-1.0,-1.0,-1.0
101.0,26.0,32.0,-1.0,-1.0,1.0,570.0,33413.2539063,1.0,1.0,942.0,58.6197436953,35.4705455481,-1.0,-1.0,11001.34816
102.0,26.0,81.0,-1.0,-1.0,1.0,852.0,76559.9765625,1.0,0.0,1189.0,89.8591274208,64.3902241905,-1.0,-1.0,25953.67555
103.0,26.0,85.0,-1.0,-1.0,1.0,1993.0,45741.1289063,1.0,1.0,3440.0,22.9508925772,13.2968397983,-1.0,-1.0,39795.17067
104.0,26.0,128.0,-1.0,-1.0,1.0,1750.0,279050.65625,1.0,0.0,2412.0,159.457517857,115.692643553,-1.0,-1.0,2649.023441
105.0,27.0,29.0,-1.0,-1.0,1.0,140.0,16485.28125,1.0,1.0,164.0,117.752008929,100.520007622,-1.0,-1.0,1753.09997
106.0,27.0,34.0,-1.0,-1.0,1.0,99.0,11313.7089844,1.0,1.0,113.0,114.279888731,100.121318446,-1.0,-1.0,7210.780946
107.0,28.0,34.0,-1.0,-1.0,1.0,81.0,8513.56542969,1.0,1.0,113.0,105.105746046,75.3412869884,-1.0,-1.0,7549.496768
108.0,28.0,40.0,-1.0,-1.0,-15.0,381.0,69648.1875,1.0,0.0,619.0,182.803641732,112.517265751,-1.0,-1.0,-1.0
109.0,28.0,42.0,-1.0,-1.0,-15.0,594.0,112476.609375,1.0,0.0,887.0,189.354561237,126.805647548,-1.0,-1.0,-1.0
110.0,28.0,43.0,-1.0,-1.0,-15.0,768.0,131904.96875,1.0,0.0,1095.0,171.751261393,120.461158676,-1.0,-1.0,-1.0
111.0,28.0,45.0,-1.0,-1.0,-15.0,1159.0,120104.0625,1.0,0.0,2072.0,103.627318809,57.9652811293,-1.0,-1.0,-1.0
112.0,29.0,30.0,-1.0,-1.0,1.0,283.0,31656.8535156,1.0,1.0,316.0,111.8616732,100.179916189,-1.0,-1.0,5362.316445
113.0,29.0,34.0,-1.0,-1.0,1.0,207.0,21656.8535156,1.0,1.0,216.0,104.622480752,100.26321072,-1.0,-1.0,4151.381102
114.0,29.0,39.0,-1.0,-1.0,1.0,247.0,28485.28125,1.0,1.0,284.0,115.325025304,100.300286092,-1.0,-1.0,3785.337535
115.0,29.0,41.0,-1.0,-1.0,1.0,258.0,28000.0,1.0,1.0,280.0,108.527131783,100.0,-1.0,-1.0,5083.628731
116.0,30.0,39.0,-1.0,-1.0,1.0,291.0,31112.6992188,1.0,1.0,311.0,106.916492161,100.040833501,-1.0,-1.0,7639.722424
117.0,30.0,52.0,-1.0,-1.0,1.0,1308.0,68777.078125,1.0,1.0,2316.0,52.5818640099,29.6964931455,-1.0,-1.0,12510.66137
118.0,30.0,56.0,-1.0,-1.0,1.0,369.0,39085.2109375,1.0,1.0,404.0,105.92198086,96.7455716275,-1.0,-1.0,7266.251673
119.0,31.0,33.0,-1.0,-1.0,1.0,71.0,9010.0,1.0,1.0,100.0,126.901408451,90.1,-1.0,-1.0,8432.36742
120.0,31.0,37.0,-1.0,-1.0,-15.0,190.0,21295.0664063,1.0,0.0,264.0,112.079296875,80.6631303269,-1.0,-1.0,-1.0
121.0,31.0,46.0,-1.0,-1.0,1.0,295.0,35313.7070313,0.0,1.0,353.0,119.707481462,100.038830117,-1.0,-1.0,823.0160006
122.0,31.0,49.0,-1.0,-1.0,1.0,308.0,34828.4257813,1.0,1.0,348.0,113.079304485,100.08168328,-1.0,-1.0,1424.776245
123.0,31.0,61.0,-1.0,-1.0,1.0,565.0,39535.6914063,1.0,1.0,644.0,69.9746750554,61.3908251651,-1.0,-1.0,3713.902994
124.0,32.0,35.0,-1.0,-1.0,1.0,67.0,7010.0,1.0,1.0,80.0,104.626865672,87.625,-1.0,-1.0,53327.44382
125.0,32.0,81.0,-1.0,-1.0,-15.0,328.0,48693.5664063,1.0,1.0,533.0,148.455995141,91.3575354715,-1.0,-1.0,-1.0
126.0,32.0,85.0,-1.0,-1.0,1.0,2500.0,68019.3203125,0.0,1.0,4377.0,27.207728125,15.540169137,-1.0,-1.0,31857.3156
127.0,32.0,128.0,-1.0,-1.0,1.0,1820.0,277632.5,0.0,1.0,2301.0,152.54532967,120.657322903,-1.0,-1.0,2575.84431
128.0,32.0,153.0,-1.0,-1.0,1.0,3267.0,210260.953125,0.0,1.0,4164.0,64.3590306474,50.4949455151,-1.0,-1.0,12449.19515
129.0,32.0,240.0,-1.0,-1.0,1.0,4563.0,291403.03125,0.0,1.0,5287.0,63.8621589415,55.1168963968,-1.0,-1.0,7893.991774
130.0,33.0,37.0,-1.0,-1.0,1.0,83.0,10828.4267578,1.0,1.0,108.0,130.462972986,100.26321072,-1.0,-1.0,2807.212451
131.0,33.0,46.0,-1.0,-1.0,1.0,250.0,34666.8554688,0.0,1.0,356.0,138.667421875,97.3788074966,-1.0,-1.0,2479.139193
132.0,34.0,40.0,-1.0,-1.0,1.0,319.0,61026.3359375,1.0,0.0,397.0,191.305128331,153.718730321,-1.0,-1.0,9015.343876
133.0,34.0,41.0,-1.0,-1.0,1.0,284.0,31112.6992188,1.0,1.0,311.0,109.551757813,100.040833501,-1.0,-1.0,2573.155326
134.0,34.0,44.0,-1.0,-1.0,1.0,272.0,53511.6171875,1.0,1.0,322.0,196.733886719,166.185146545,-1.0,-1.0,8402.790433
