,location,Firegion,WhyChange_Expenses,WhyChange_MoreBirds,WhyChange_NewLocation,WhyChange_NoReason,WhyChange_Timing,expense_more_bird,Expense_new_location,no_reason_expense,expense_timing,more_bird_location,more_bird_timing,more_bird_reason,location_no_reason,new_loation_timing,no_reason_tming,more_bird_location_noreason,more_bird_location_timing,no_reason_expense_timing
12125,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12126,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12127,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12128,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12129,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12130,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12131,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12132,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12133,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12134,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12135,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12136,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12137,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12138,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12139,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12140,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12141,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12142,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12143,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12144,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12145,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12146,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12147,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12148,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12149,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12150,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12151,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12152,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12153,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12154,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12155,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12156,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12157,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12158,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12159,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12160,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12161,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12162,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12163,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12164,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12165,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12166,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12167,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,1,,,,,,,,,,,,,
12168,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,1,,,,,,,,,,,,,
12169,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,1,,,,,,,,,,,,,
12170,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,1,,,,,,,,,,,,,
12171,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,1,,,,,,,,,,,,,
12172,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
12173,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12174,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12175,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12176,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12177,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
12178,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12179,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12180,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12181,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12182,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12183,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12184,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12185,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12186,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12187,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12188,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12189,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12190,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12191,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,1,,,,,,,,,,,,,
12192,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12193,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12194,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,1,NA,NA,,,,,,,,,,,,,
12195,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12196,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12197,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12198,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,1,NA,NA,,,,,,,,,,,,,
12199,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12200,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12201,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,1,NA,,,,,,,,1,,,,,
12202,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12203,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
12204,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12205,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12206,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12207,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12208,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,1,NA,NA,,,,,,,,,,,,,
12209,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12210,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12211,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12212,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
12213,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12214,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12215,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12216,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
12217,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
12218,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12219,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12220,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12221,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12222,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12223,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12224,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12225,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12226,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12227,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12228,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12229,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12231,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,1,,,,,,1,,,,,,,
12232,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12233,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12234,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12235,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12236,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12237,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12238,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12239,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
12240,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,1,,,,,,1,,,,,,,
12241,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12242,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12243,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12244,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12245,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12246,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12247,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12248,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
12249,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12250,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12251,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,1,NA,NA,,,,,,,,,,,,,
12252,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12253,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
12254,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
12256,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12257,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12258,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12259,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12260,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12261,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12262,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12263,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12264,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12265,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12266,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12269,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12270,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12271,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12272,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,1,NA,NA,,,,,,,,,,,,,
12273,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12274,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12275,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12276,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
12277,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12278,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12279,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12280,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12281,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12282,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12283,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12284,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12285,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12286,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12287,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12288,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12289,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12290,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12291,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12292,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12293,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12294,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12295,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12296,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12297,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12298,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12299,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12300,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12301,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12302,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12303,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
12304,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12305,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12306,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
12307,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12308,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12309,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12310,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12311,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12312,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12313,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12314,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12315,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12316,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12317,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12318,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12319,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12321,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12322,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12323,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12324,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
12325,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
12326,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12327,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
12328,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,1,NA,,,,,,,1,,,,,,
12329,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,1,NA,NA,,,,,,,,,,,,,
12330,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12331,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
12332,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12333,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
12334,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
12335,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
12336,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
12337,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
12338,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12339,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
12340,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
12341,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
12342,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
12343,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,1,NA,NA,NA,NA,,,,,,,,,,,,,
12344,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12345,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
12346,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
12347,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
