"parentId","fact","value","factLabel","valueLabel","hab","year","month","NNN","EEE","kausi","year2","route","feeders","f1","f2","fhab","loglengthkm","fkausi","year2st","NNNst","EEEst","fyear"
"JX.1201161","routeLengthBiotopeC",3820,"Route length countryside","3820","A",2021,1,692,365,2,2021,"MNP.4063",7,2,5,"C",1.34025042261848,"2",15.0253451256483,5.16041969216542,28.4324155917247,"2021"
"JX.1201162","routeLengthBiotopeC",1000,"Route length countryside","1000","A",2021,1,692,343,2,2021,"MNP.3531",4,3,1,"C",0,"2",15.0253451256483,5.16041969216542,6.43241559172475,"2021"
"JX.1201168","routeLengthBiotopeC",5100,"Route length countryside","5100","A",2021,1,676,342,2,2021,"MNP.301",27,5,22,"C",1.62924053973028,"2",15.0253451256483,-10.8395803078346,5.43241559172475,"2021"
"JX.1201170","routeLengthBiotopeC",3800,"Route length countryside","3800","A",2021,1,739,352,2,2021,"MNP.3729",5,5,0,"C",1.33500106673234,"2",15.0253451256483,52.1604196921654,15.4324155917247,"2021"
"JX.1201172","routeLengthBiotopeC",2400,"Route length countryside","2400","A",2021,1,667,336,2,2021,"MNP.3252",0,0,0,NA,0.8754687373539,"2",15.0253451256483,-19.8395803078346,-0.567584408275252,"2021"
"JX.1201174","routeLengthBiotopeC",900,"Route length countryside","900","A",2020,12,762,352,2,2021,"MNP.796",0,0,0,NA,-0.105360515657826,"2",15.0253451256483,75.1604196921654,15.4324155917247,"2020"
"JX.1201177","routeLengthBiotopeC",1100,"Route length countryside","1100","A",2021,1,671,322,2,2021,"MNP.159",0,0,0,NA,0.0953101798043249,"2",15.0253451256483,-15.8395803078346,-14.5675844082753,"2021"
"JX.1201178","routeLengthBiotopeC",2900,"Route length countryside","2900","A",2021,1,671,334,2,2021,"MNP.172",0,0,0,NA,1.06471073699243,"2",15.0253451256483,-15.8395803078346,-2.56758440827525,"2021"
"JX.1201182","routeLengthBiotopeC",600,"Route length countryside","600","A",2021,1,688,348,2,2021,"MNP.11740",3,1,2,"C",-0.510825623765991,"2",15.0253451256483,1.16041969216542,11.4324155917247,"2021"
"JX.1201184","routeLengthBiotopeC",5800,"Route length countryside","5800","A",2021,1,683,332,2,2021,"MNP.10017",0,0,0,NA,1.75785791755237,"2",15.0253451256483,-3.83958030783458,-4.56758440827525,"2021"
"JX.1201191","routeLengthBiotopeC",300,"Route length countryside","300","A",2021,1,682,339,2,2021,"MNP.3746",1,1,0,"C",-1.20397280432594,"2",15.0253451256483,-4.83958030783458,2.43241559172475,"2021"
