ID;session;place;gender;age;Betsileo_sp;life;archi;phylo;ferpo;leav;root;flo;fru;EAD;pheL;pheF;land;soil;nbsp_Fa;nbsp_Fl;use;eco;score
O2;2;O;F;17;Paoma;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;1;5
O2;2;O;F;17;Voaloboka;1;1;1;1;2;0;0;4;1;1;0;0;0;0;0;0;1;13
O3;3;O;F;16;Goavy;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;5
O3;3;O;F;16;Kilela;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;8
O3;3;O;F;16;Lamoty;1;1;1;1;1;1;0;1;0;1;0;0;0;1;0;0;1;10
O3;3;O;F;16;Petity;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;7
O3;3;O;F;16;Roimbosa;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;11
O3;3;O;F;16;Rotsy;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;6
O3;3;O;F;16;Voanaka;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;8
O3;3;O;F;16;Voarafy;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;7
O3;3;O;F;16;Voaroitsaka;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;5
O3;3;O;F;16;Voatsitakajaza;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;6
O4;4;O;F;13;Goavy;1;0;0;0;1;1;0;4;0;0;0;1;0;0;0;0;1;9
O4;4;O;F;13;Lanary;1;0;0;0;1;1;0;4;0;0;0;1;0;0;0;0;1;9
O4;4;O;F;13;Rosty;1;0;0;0;1;1;0;2;0;0;0;1;0;0;0;0;1;7
O4;4;O;F;13;Voatabiahazo;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;6
O5;5;O;F;13;Goavy;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;5
O5;5;O;F;13;Kilela;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
O5;5;O;F;13;Kilenga;1;1;1;1;2;1;0;3;0;0;0;0;0;0;0;0;1;11
O5;5;O;F;13;Lamoty;1;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1;6
O5;5;O;F;13;Nakasimba;0;0;0;0;3;1;0;3;1;1;0;0;0;0;0;0;1;10
O5;5;O;F;13;Petity;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;5
O5;5;O;F;13;Voanaka;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;6
P1;1;P;F;12;Kilela;1;0;1;1;3;2;3;4;1;0;1;0;1;1;0;0;1;20
P1;1;P;F;12;Petity;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;4
P1;1;P;F;12;Raketa;1;0;0;1;3;0;0;4;1;0;1;0;0;0;0;0;1;12
P1;1;P;F;12;Rotsy bory;1;0;0;1;1;0;0;4;1;0;1;0;0;0;0;0;1;10
P1;1;P;F;12;Voanaka;1;0;1;1;3;2;0;4;1;0;1;0;0;0;0;0;1;15
P1;1;P;F;12;Voaroitsaka;1;0;1;1;1;0;0;4;1;0;1;0;0;0;0;0;1;11
P2;2;P;F;17;Goavy;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;4
P2;2;P;F;17;Manga;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
P2;2;P;F;17;Paiso;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2
P2;2;P;F;17;Voanaka;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
P2;2;P;F;17;Voaroihazo;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;1;6
P2;2;P;F;17;Voaroitsaka;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;1;6
P2;2;P;F;17;Voatsitakajaza;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;4
P3;3;P;F;13;Goavy;0;0;1;0;1;1;0;2;0;0;0;0;0;0;0;0;1;6
P3;3;P;F;13;Kilela;1;0;1;1;3;1;0;3;0;0;1;0;0;0;0;0;1;12
P3;3;P;F;13;Petity;1;0;1;0;2;1;0;2;1;0;0;0;0;0;0;0;1;9
P3;3;P;F;13;Roimbosa;1;0;0;1;1;1;0;4;0;0;0;0;0;0;0;0;1;9
P3;3;P;F;13;Rotsy;1;1;1;1;3;1;0;2;0;0;1;0;0;0;0;0;1;12
P3;3;P;F;13;Voafotsy;0;0;1;0;1;1;0;2;0;0;0;0;0;0;0;0;1;6
P3;3;P;F;13;Voanaka;1;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;1;7
P3;3;P;F;13;Voaroitsaka;1;0;1;1;1;1;0;2;1;0;0;0;0;0;0;0;1;9
P5;5;P;F;12;Goavy;1;0;1;0;0;1;1;2;0;1;1;0;0;0;0;0;1;9
P5;5;P;F;12;Kilela;1;0;0;0;0;1;0;2;0;0;1;1;0;0;0;0;1;7
P5;5;P;F;12;Kilenga;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;5
P5;5;P;F;12;Rotsy bory;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;5
P5;5;P;F;12;Voanaka;1;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;1;7
P5;5;P;F;12;Voaroy;1;0;0;1;0;1;0;4;1;0;1;1;0;0;2;0;1;13
P5;5;P;F;12;Voatsitakajaza;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;5
Q1;1;Q;F;14;Kilela;1;0;1;1;3;0;3;4;1;0;1;0;0;1;0;0;1;17
Q1;1;Q;F;14;Lamoty;1;0;0;0;3;1;0;3;0;0;0;0;0;0;0;0;1;9
Q1;1;Q;F;14;Petity;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;4
Q1;1;Q;F;14;Voaroitsaka;1;0;1;1;3;1;0;4;1;0;0;0;0;0;0;0;1;13
Q1;1;Q;F;14;Voatsitakajaza;1;0;0;1;1;1;0;3;1;0;1;0;0;1;0;0;1;11
Q2;2;Q;F;17;Goavy;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
Q2;2;Q;F;17;Goavy tsinahy;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
Q2;2;Q;F;17;Kilela;1;0;0;1;3;0;0;3;0;0;0;0;1;1;0;0;1;11
Q2;2;Q;F;17;Manga;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
Q2;2;Q;F;17;Paiso;1;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;1;7
Q2;2;Q;F;17;Paoma;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
Q2;2;Q;F;17;Rotsy;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;1;6
Q2;2;Q;F;17;Voaloboka;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
Q2;2;Q;F;17;Voanaka;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
Q2;2;Q;F;17;Voaroitsaka;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;1;6
Q2;2;Q;F;17;Voaroy;1;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;1;6
Q3;3;Q;F;14;Goavy;0;0;0;1;2;1;0;1;0;0;0;0;0;0;0;0;1;6
Q3;3;Q;F;14;Kilela;1;0;0;1;2;1;0;3;0;0;1;0;0;0;0;0;1;10
Q3;3;Q;F;14;Lamoty;1;0;1;1;2;1;0;3;0;0;1;1;0;0;0;0;1;12
Q3;3;Q;F;14;Petity;1;0;0;1;2;1;0;1;1;1;0;0;0;0;0;0;1;9
Q3;3;Q;F;14;Rotsy bory;1;0;0;1;2;1;0;3;0;0;1;0;0;0;0;0;1;10
Q3;3;Q;F;14;Tsipoaka;1;1;1;1;3;1;2;4;1;0;1;1;1;0;0;0;1;19
Q3;3;Q;F;14;Voanaka;1;0;0;1;0;1;0;3;0;0;0;1;0;0;0;0;1;8
Q3;3;Q;F;14;Voaroy;1;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;1;6
R1;1;R;F;14;Goavy;1;0;0;1;1;1;3;3;0;0;1;0;1;0;0;0;1;13
R1;1;R;F;14;Kilela;1;0;1;1;3;0;3;3;0;0;1;0;1;0;0;0;1;15
R1;1;R;F;14;Raketa;1;0;0;1;0;0;1;2;0;0;1;0;0;0;0;0;1;7
R1;1;R;F;14;Rotsy bory;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;4
R1;1;R;F;14;Sevafotsy;0;0;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;6
R1;1;R;F;14;Voaroitsaka;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0;1;7
R1;1;R;F;14;Voatsitakajaza;1;1;1;0;3;1;0;2;0;0;0;0;1;0;0;0;1;11
R2;2;R;M;17;Goavy;1;0;0;0;3;1;0;4;1;0;1;0;0;2;0;0;1;14
R3;3;R;F;15;Goavy;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;6
R3;3;R;F;15;Kilela;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;6
R3;3;R;F;15;Lamoty;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;4
R3;3;R;F;15;Petity;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;5
R3;3;R;F;15;Voafotsy;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;5
R3;3;R;F;15;Voanaka;1;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;1;7
R3;3;R;F;15;Voarafy;1;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;1;6
R3;3;R;F;15;Voaroy;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;5
R3;3;R;F;15;Voatsitakajaza;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;5
R5;5;R;M;17;Goavy;1;1;1;1;3;1;2;3;1;1;1;0;0;0;0;0;1;17
R5;5;R;M;17;Kilela;1;0;1;1;1;1;3;3;0;0;1;0;0;0;0;0;1;13
R5;5;R;M;17;Nonoka;1;1;0;1;1;1;0;3;1;0;1;0;0;0;0;0;1;11
R5;5;R;M;17;Raketa;1;1;1;1;1;1;3;4;1;0;1;0;0;0;0;0;1;16
R5;5;R;M;17;Rotsy;1;1;1;1;2;1;0;3;0;0;1;0;0;0;0;0;1;12
R5;5;R;M;17;Voaroitsaka;1;1;1;1;3;1;0;3;1;0;1;0;0;0;0;0;1;14
R5;5;R;M;17;Voatsitakajaza;1;0;1;1;3;2;0;3;1;0;1;0;0;0;0;0;1;14
S1;1;S;F;15;Kilela;1;1;1;1;3;0;3;3;1;0;1;0;1;0;0;0;1;17
S1;1;S;F;15;Petity;1;0;0;1;1;0;3;3;1;0;1;0;1;0;0;0;1;13
S1;1;S;F;15;Raketa;1;0;0;1;3;0;3;4;0;0;1;0;0;0;0;0;1;14
S1;1;S;F;15;Rotsy;0;0;0;1;0;0;0;4;0;0;0;0;1;0;0;0;0;6
S1;1;S;F;15;Sevafotsy;0;0;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;6
S1;1;S;F;15;Voaroitsaka;1;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;0;6
S2;2;S;M;15;Kimba;1;0;0;1;1;0;0;3;1;1;1;1;0;1;2;1;1;15
S3;3;S;F;13;Goavy;1;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;1;7
S3;3;S;F;13;Kilela;1;0;1;1;3;1;0;3;0;0;0;0;0;0;0;0;1;11
S3;3;S;F;13;Roimbosa;1;1;0;1;2;1;3;4;1;1;1;0;0;0;0;0;1;17
S3;3;S;F;13;Voafotsy;1;0;0;0;2;1;0;4;1;0;0;0;0;0;0;0;1;10
S3;3;S;F;13;Voanaka;1;0;0;0;3;1;0;3;1;0;1;0;0;0;0;0;1;11
S3;3;S;F;13;Voaroitsaka;1;1;0;1;2;1;0;1;1;0;0;0;0;0;0;0;1;9
S5;5;S;M;17;Akondro;1;1;0;1;3;1;3;3;1;0;1;0;0;0;0;0;1;16
S5;5;S;M;17;Goavy;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;6
